iso3,iso2,country_name,region,subregion,income_group,is_country,is_active,notes
ABW,,Aruba,Americas,Caribbean,High income,,,
AFG,,Afghanistan,Asia,Southern Asia,Low income,,,
AGO,,Angola,Africa,Middle Africa,Lower middle income,,,
ALB,,Albania,Europe,Southern Europe,Upper middle income,,,
ANT,,Netherlands Antilles,Americas,Caribbean,Unclassified,,,
ARE,,United Arab Emirates,Asia,Western Asia,High income,,,
ARG,,Argentina,Americas,South America,Upper middle income,,,
ARM,,Armenia,Asia,Western Asia,Upper middle income,,,
ASM,,American Samoa,Oceania,Polynesia,High income,,,
ATA,,Antarctica,Antarctica,Antarctica,Unclassified,,,
ATG,,Antigua and Barbuda,Americas,Caribbean,High income,,,
AUS,AU,Australia,Oceania,Australia and New Zealand,High income,,,
AUT,,Austria,Europe,Western Europe,High income,,,
AZE,,Azerbaijan,Asia,Western Asia,Upper middle income,,,
BDI,,Burundi,Africa,Eastern Africa,Low income,,,
BEL,,Belgium,Europe,Western Europe,High income,,,
BEN,,Benin,Africa,Western Africa,Lower middle income,,,
BFA,,Burkina Faso,Africa,Western Africa,Low income,,,
BGD,,Bangladesh,Asia,Southern Asia,Lower middle income,,,
BGR,,Bulgaria,Europe,Eastern Europe,High income,,,
BHR,,Bahrain,Asia,Western Asia,High income,,,
BHS,,Bahamas,Americas,Caribbean,High income,,,
BIH,,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income,,,
BLR,,Belarus,Europe,Eastern Europe,Upper middle income,,,
BLZ,,Belize,Americas,Central America,Upper middle income,,,
BMU,,Bermuda,Americas,Northern America,High income,,,
BOL,,Bolivia,Americas,South America,Lower middle income,,,
BRA,BR,Brazil,South America,South America,Upper middle income,,,
BRB,,Barbados,Americas,Caribbean,High income,,,
BRN,,Brunei,Asia,South-eastern Asia,High income,,,
BTN,,Bhutan,Asia,Southern Asia,Lower middle income,,,
BWA,,Botswana,Africa,Southern Africa,Upper middle income,,,
CAF,,Central African Republic,Africa,Middle Africa,Low income,,,
CAN,CA,Canada,North America,Northern America,High income,,,
CHE,CH,Switzerland,Europe,Western Europe,High income,,,
CHL,,Chile,Americas,South America,High income,,,
CHN,CN,China,Asia,Eastern Asia,Upper middle income,,,
CIV,,Cote d'Ivoire,Africa,Western Africa,Lower middle income,,,
CMR,,Cameroon,Africa,Middle Africa,Lower middle income,,,
COD,,Democratic Republic of Congo,To be classified,,Low income,,,
COG,,Congo,Africa,Middle Africa,Lower middle income,,,
COK,,Cook Islands,Oceania,Polynesia,Unclassified,,,
COL,,Colombia,Americas,South America,Upper middle income,,,
COM,,Comoros,Africa,Eastern Africa,Lower middle income,,,
CPV,,Cape Verde,Africa,Western Africa,Upper middle income,,,
CRI,,Costa Rica,Americas,Central America,High income,,,
CUB,,Cuba,Americas,Caribbean,Upper middle income,,,
CUW,,Curacao,Americas,Caribbean,High income,,,
CYM,,Cayman Islands,Americas,Caribbean,High income,,,
CYP,,Cyprus,Asia,Western Asia,High income,,,
CZE,,Czechia,Europe,Eastern Europe,High income,,,
DEU,DE,Germany,Europe,Western Europe,High income,,,
DJI,,Djibouti,Africa,Eastern Africa,Lower middle income,,,
DMA,,Dominica,Americas,Caribbean,Upper middle income,,,
DNK,,Denmark,Europe,Northern Europe,High income,,,
DOM,,Dominican Republic,Americas,Caribbean,Upper middle income,,,
DZA,,Algeria,Africa,Northern Africa,Upper middle income,,,
ECU,,Ecuador,Americas,South America,Upper middle income,,,
EGY,EG,Egypt,Africa,Northern Africa,Lower middle income,,,
ERI,,Eritrea,Africa,Eastern Africa,Low income,,,
ESH,,Western Sahara,Africa,Northern Africa,Unclassified,,,
ESP,ES,Spain,Europe,Southern Europe,High income,,,
EST,,Estonia,Europe,Northern Europe,High income,,,
ETH,,Ethiopia,Africa,Eastern Africa,Unclassified,,,
FIN,,Finland,Europe,Northern Europe,High income,,,
FJI,,Fiji,Oceania,Melanesia,Upper middle income,,,
FLK,,Falkland Islands,Americas,South America,Unclassified,,,
FRA,FR,France,Europe,Western Europe,High income,,,
FRO,,Faroe Islands,Europe,Northern Europe,High income,,,
FSM,,Micronesia (country),To be classified,,Lower middle income,,,
GAB,,Gabon,Africa,Middle Africa,Upper middle income,,,
GBR,GB,United Kingdom,Europe,Northern Europe,High income,,,
GEO,,Georgia,Asia,Western Asia,Upper middle income,,,
GHA,,Ghana,Africa,Western Africa,Lower middle income,,,
GIB,,Gibraltar,Europe,Southern Europe,High income,,,
GIN,,Guinea,Africa,Western Africa,Lower middle income,,,
GLP,,Guadeloupe,Americas,Caribbean,Unclassified,,,
GMB,,Gambia,Africa,Western Africa,Low income,,,
GNB,,Guinea-Bissau,Africa,Western Africa,Low income,,,
GNQ,,Equatorial Guinea,Africa,Middle Africa,Upper middle income,,,
GRC,,Greece,Europe,Southern Europe,High income,,,
GRD,,Grenada,Americas,Caribbean,Upper middle income,,,
GRL,,Greenland,Americas,Northern America,High income,,,
GTM,,Guatemala,Americas,Central America,Upper middle income,,,
GUF,,French Guiana,Americas,South America,Unclassified,,,
GUM,,Guam,Oceania,Micronesia,High income,,,
GUY,,Guyana,Americas,South America,High income,,,
HKG,,Hong Kong,Asia,Eastern Asia,High income,,,
HND,,Honduras,Americas,Central America,Lower middle income,,,
HRV,,Croatia,Europe,Southern Europe,High income,,,
HTI,,Haiti,Americas,Caribbean,Lower middle income,,,
HUN,,Hungary,Europe,Eastern Europe,High income,,,
IDN,ID,Indonesia,Asia,South-eastern Asia,Lower middle income,,,
IND,IN,India,Asia,Southern Asia,Lower middle income,,,
IRL,,Ireland,Europe,Northern Europe,High income,,,
IRN,,Iran,Asia,Southern Asia,Upper middle income,,,
IRQ,,Iraq,Asia,Western Asia,Upper middle income,,,
ISL,,Iceland,Europe,Northern Europe,High income,,,
ISR,,Israel,Asia,Western Asia,High income,,,
ITA,IT,Italy,Europe,Southern Europe,High income,,,
JAM,,Jamaica,Americas,Caribbean,Upper middle income,,,
JOR,,Jordan,Asia,Western Asia,Lower middle income,,,
JPN,JP,Japan,Asia,Eastern Asia,High income,,,
KAZ,,Kazakhstan,Asia,Central Asia,Upper middle income,,,
KEN,,Kenya,Africa,Eastern Africa,Lower middle income,,,
KGZ,,Kyrgyzstan,Asia,Central Asia,Lower middle income,,,
KHM,,Cambodia,Asia,South-eastern Asia,Lower middle income,,,
KIR,,Kiribati,Oceania,Micronesia,Lower middle income,,,
KNA,,Saint Kitts and Nevis,Americas,Caribbean,High income,,,
KOR,KR,South Korea,Asia,Eastern Asia,High income,,,
KWT,,Kuwait,Asia,Western Asia,High income,,,
LAO,,Laos,Asia,South-eastern Asia,Lower middle income,,,
LBN,,Lebanon,Asia,Western Asia,Lower middle income,,,
LBR,,Liberia,Africa,Western Africa,Low income,,,
LBY,,Libya,Africa,Northern Africa,Upper middle income,,,
LCA,,Saint Lucia,Americas,Caribbean,Upper middle income,,,
LKA,,Sri Lanka,Asia,Southern Asia,Lower middle income,,,
LSO,,Lesotho,Africa,Southern Africa,Lower middle income,,,
LTU,,Lithuania,Europe,Northern Europe,High income,,,
LUX,,Luxembourg,Europe,Western Europe,High income,,,
LVA,,Latvia,Europe,Northern Europe,High income,,,
MAC,,Macao,Asia,Eastern Asia,High income,,,
MAR,,Morocco,Africa,Northern Africa,Lower middle income,,,
MDA,,Moldova,Europe,Eastern Europe,Upper middle income,,,
MDG,,Madagascar,Africa,Eastern Africa,Low income,,,
MDV,,Maldives,Asia,Southern Asia,Upper middle income,,,
MEX,MX,Mexico,North America,Latin America,Upper middle income,,,
