country_id,country_iso3,iso2,country_name,region,subregion,income_group
1,ABW,,Aruba,Americas,Caribbean,High income
2,AFG,,Afghanistan,Asia,Southern Asia,Low income
3,AGO,,Angola,Africa,Middle Africa,Lower middle income
4,ALB,,Albania,Europe,Southern Europe,Upper middle income
5,ANT,,Netherlands Antilles,Americas,Caribbean,Unclassified
6,ARE,,United Arab Emirates,Asia,Western Asia,High income
7,ARG,,Argentina,Americas,South America,Upper middle income
8,ARM,,Armenia,Asia,Western Asia,Upper middle income
9,ASM,,American Samoa,Oceania,Polynesia,High income
10,ATA,,Antarctica,Antarctica,Antarctica,Unclassified
11,ATG,,Antigua and Barbuda,Americas,Caribbean,High income
12,AUS,AU,Australia,Oceania,Australia and New Zealand,High income
13,AUT,,Austria,Europe,Western Europe,High income
14,AZE,,Azerbaijan,Asia,Western Asia,Upper middle income
15,BDI,,Burundi,Africa,Eastern Africa,Low income
16,BEL,,Belgium,Europe,Western Europe,High income
17,BEN,,Benin,Africa,Western Africa,Lower middle income
18,BFA,,Burkina Faso,Africa,Western Africa,Low income
19,BGD,,Bangladesh,Asia,Southern Asia,Lower middle income
20,BGR,,Bulgaria,Europe,Eastern Europe,High income
21,BHR,,Bahrain,Asia,Western Asia,High income
22,BHS,,Bahamas,Americas,Caribbean,High income
23,BIH,,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income
24,BLR,,Belarus,Europe,Eastern Europe,Upper middle income
25,BLZ,,Belize,Americas,Central America,Upper middle income
26,BMU,,Bermuda,Americas,Northern America,High income
27,BOL,,Bolivia,Americas,South America,Lower middle income
28,BRA,BR,Brazil,South America,South America,Upper middle income
29,BRB,,Barbados,Americas,Caribbean,High income
30,BRN,,Brunei,Asia,South-eastern Asia,High income
31,BTN,,Bhutan,Asia,Southern Asia,Lower middle income
32,BWA,,Botswana,Africa,Southern Africa,Upper middle income
33,CAF,,Central African Republic,Africa,Middle Africa,Low income
34,CAN,CA,Canada,North America,Northern America,High income
35,CHE,CH,Switzerland,Europe,Western Europe,High income
36,CHL,,Chile,Americas,South America,High income
37,CHN,CN,China,Asia,Eastern Asia,Upper middle income
38,CIV,,Cote d'Ivoire,Africa,Western Africa,Lower middle income
39,CMR,,Cameroon,Africa,Middle Africa,Lower middle income
40,COD,,Democratic Republic of Congo,To be classified,,Low income
41,COG,,Congo,Africa,Middle Africa,Lower middle income
42,COK,,Cook Islands,Oceania,Polynesia,Unclassified
43,COL,,Colombia,Americas,South America,Upper middle income
44,COM,,Comoros,Africa,Eastern Africa,Lower middle income
45,CPV,,Cape Verde,Africa,Western Africa,Upper middle income
46,CRI,,Costa Rica,Americas,Central America,High income
47,CUB,,Cuba,Americas,Caribbean,Upper middle income
48,CUW,,Curacao,Americas,Caribbean,High income
49,CYM,,Cayman Islands,Americas,Caribbean,High income
50,CYP,,Cyprus,Asia,Western Asia,High income
51,CZE,,Czechia,Europe,Eastern Europe,High income
52,DEU,DE,Germany,Europe,Western Europe,High income
53,DJI,,Djibouti,Africa,Eastern Africa,Lower middle income
54,DMA,,Dominica,Americas,Caribbean,Upper middle income
55,DNK,,Denmark,Europe,Northern Europe,High income
56,DOM,,Dominican Republic,Americas,Caribbean,Upper middle income
57,DZA,,Algeria,Africa,Northern Africa,Upper middle income
58,ECU,,Ecuador,Americas,South America,Upper middle income
59,EGY,EG,Egypt,Africa,Northern Africa,Lower middle income
60,ERI,,Eritrea,Africa,Eastern Africa,Low income
61,ESH,,Western Sahara,Africa,Northern Africa,Unclassified
62,ESP,ES,Spain,Europe,Southern Europe,High income
63,EST,,Estonia,Europe,Northern Europe,High income
64,ETH,,Ethiopia,Africa,Eastern Africa,Unclassified
65,FIN,,Finland,Europe,Northern Europe,High income
66,FJI,,Fiji,Oceania,Melanesia,Upper middle income
67,FLK,,Falkland Islands,Americas,South America,Unclassified
68,FRA,FR,France,Europe,Western Europe,High income
69,FRO,,Faroe Islands,Europe,Northern Europe,High income
70,FSM,,Micronesia (country),To be classified,,Lower middle income
71,GAB,,Gabon,Africa,Middle Africa,Upper middle income
72,GBR,GB,United Kingdom,Europe,Northern Europe,High income
73,GEO,,Georgia,Asia,Western Asia,Upper middle income
74,GHA,,Ghana,Africa,Western Africa,Lower middle income
75,GIB,,Gibraltar,Europe,Southern Europe,High income
76,GIN,,Guinea,Africa,Western Africa,Lower middle income
77,GLP,,Guadeloupe,Americas,Caribbean,Unclassified
78,GMB,,Gambia,Africa,Western Africa,Low income
79,GNB,,Guinea-Bissau,Africa,Western Africa,Low income
80,GNQ,,Equatorial Guinea,Africa,Middle Africa,Upper middle income
81,GRC,,Greece,Europe,Southern Europe,High income
82,GRD,,Grenada,Americas,Caribbean,Upper middle income
